field_number,field_name,field_name_formatted
118,Visiting_Team_Starting_Player_ID_5,"'Visiting_Team_Starting_Player_ID_5',"
119,Visiting_Team_Starting_Player_Name_5,"'Visiting_Team_Starting_Player_Name_5',"
120,Visiting_Team_Starting_Player_Defensive_Position_5,"'Visiting_Team_Starting_Player_Defensive_Position_5',"
121,Visiting_Team_Starting_Player_ID_6,"'Visiting_Team_Starting_Player_ID_6',"
122,Visiting_Team_Starting_Player_Name_6,"'Visiting_Team_Starting_Player_Name_6',"
123,Visiting_Team_Starting_Player_Defensive_Position_6,"'Visiting_Team_Starting_Player_Defensive_Position_6',"
124,Visiting_Team_Starting_Player_ID_7,"'Visiting_Team_Starting_Player_ID_7',"
125,Visiting_Team_Starting_Player_Name_7,"'Visiting_Team_Starting_Player_Name_7',"
126,Visiting_Team_Starting_Player_Defensive_Position_7,"'Visiting_Team_Starting_Player_Defensive_Position_7',"
127,Visiting_Team_Starting_Player_ID_8,"'Visiting_Team_Starting_Player_ID_8',"
128,Visiting_Team_Starting_Player_Name_8,"'Visiting_Team_Starting_Player_Name_8',"
129,Visiting_Team_Starting_Player_Defensive_Position_8,"'Visiting_Team_Starting_Player_Defensive_Position_8',"
130,Visiting_Team_Starting_Player_ID_9,"'Visiting_Team_Starting_Player_ID_9',"
131,Visiting_Team_Starting_Player_Name_9,"'Visiting_Team_Starting_Player_Name_9',"
132,Visiting_Team_Starting_Player_Defensive_Position_9,"'Visiting_Team_Starting_Player_Defensive_Position_9',"
133,Home_Team_Starting_Player_ID_1,"'Home_Team_Starting_Player_ID_1',"
134,Home_Team_Starting_Player_Name_1,"'Home_Team_Starting_Player_Name_1',"
135,Home_Team_Starting_Player_Defensive_Position_1,"'Home_Team_Starting_Player_Defensive_Position_1',"
136,Home_Team_Starting_Player_ID_2,"'Home_Team_Starting_Player_ID_2',"
137,Home_Team_Starting_Player_Name_2,"'Home_Team_Starting_Player_Name_2',"
138,Home_Team_Starting_Player_Defensive_Position_2,"'Home_Team_Starting_Player_Defensive_Position_2',"
139,Home_Team_Starting_Player_ID_3,"'Home_Team_Starting_Player_ID_3',"
140,Home_Team_Starting_Player_Name_3,"'Home_Team_Starting_Player_Name_3',"
141,Home_Team_Starting_Player_Defensive_Position_3,"'Home_Team_Starting_Player_Defensive_Position_3',"
142,Home_Team_Starting_Player_ID_4,"'Home_Team_Starting_Player_ID_4',"
143,Home_Team_Starting_Player_Name_4,"'Home_Team_Starting_Player_Name_4',"
144,Home_Team_Starting_Player_Defensive_Position_4,"'Home_Team_Starting_Player_Defensive_Position_4',"
145,Home_Team_Starting_Player_ID_5,"'Home_Team_Starting_Player_ID_5',"
146,Home_Team_Starting_Player_Name_5,"'Home_Team_Starting_Player_Name_5',"
147,Home_Team_Starting_Player_Defensive_Position_5,"'Home_Team_Starting_Player_Defensive_Position_5',"
148,Home_Team_Starting_Player_ID_6,"'Home_Team_Starting_Player_ID_6',"
149,Home_Team_Starting_Player_Name_6,"'Home_Team_Starting_Player_Name_6',"
150,Home_Team_Starting_Player_Defensive_Position_6,"'Home_Team_Starting_Player_Defensive_Position_6',"
151,Home_Team_Starting_Player_ID_7,"'Home_Team_Starting_Player_ID_7',"
152,Home_Team_Starting_Player_Name_7,"'Home_Team_Starting_Player_Name_7',"
153,Home_Team_Starting_Player_Defensive_Position_7,"'Home_Team_Starting_Player_Defensive_Position_7',"
154,Home_Team_Starting_Player_ID_8,"'Home_Team_Starting_Player_ID_8',"
155,Home_Team_Starting_Player_Name_8,"'Home_Team_Starting_Player_Name_8',"
156,Home_Team_Starting_Player_Defensive_Position_8,"'Home_Team_Starting_Player_Defensive_Position_8',"
157,Home_Team_Starting_Player_ID_9,"'Home_Team_Starting_Player_ID_9',"
158,Home_Team_Starting_Player_Name_9,"'Home_Team_Starting_Player_Name_9',"
159,Home_Team_Starting_Player_Defensive_Position_9,"'Home_Team_Starting_Player_Defensive_Position_9',"
160,Additional_Information,"'Additional_Information',"
161,Acquisition_Information,"'Acquisition_Information',"
